City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,kailua-kona,19.6406,-155.9956,22.98,82,0,3.6,US,1734272803
261,cadale,2.7603,46.3222,26.29,76,60,8.61,SO,1734273399
262,arba minch,6.0333,37.55,24.75,39,72,0.33,ET,1734273400
263,nar'yan-mar,67.6713,53.087,-16.48,97,100,3.52,RU,1734273191
264,kununurra,-15.7667,128.7333,27.99,78,97,2.06,AU,1734273404
265,horsham,51.064,-0.3272,13.06,82,75,4.12,GB,1734273405
266,andalgala,-27.5819,-66.3165,27.75,37,3,3.19,AR,1734273406
267,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.92,PT,1734273407
268,ciudad lazaro cardenas,17.9583,-102.2,27.05,76,99,0.29,MX,1734273408
269,seguela,7.9611,-6.6731,35.4,9,6,3.22,CI,1734273409
270,fale old settlement,-9.3852,-171.2468,27.87,76,21,6.38,TK,1734273410
271,teluk nibung,3.001,99.8164,25.17,93,99,2.05,ID,1734273412
272,goba,7.0167,39.9833,13.0,51,10,1.53,ET,1734273413
273,okulovka,58.4008,33.2908,-1.17,96,100,4.34,RU,1734273414
274,klyuchi,52.2667,79.1667,-4.31,95,100,6.43,RU,1734273415
275,eyl,7.9803,49.8164,25.33,66,82,10.79,SO,1734273416
276,mejit,10.2753,170.8646,27.28,81,100,9.5,MH,1734273417
277,saint-pierre,-21.3393,55.4781,27.82,69,0,9.77,RE,1734273418
278,ylitornio,66.3089,23.6773,-12.09,88,84,3.92,FI,1734273420
279,dul'durga,50.6761,113.5931,-18.91,98,17,1.67,RU,1734273421
280,la passe,45.5549,-0.8967,9.76,75,75,0.22,FR,1734273422
281,usogorsk,63.4106,48.6872,-30.64,100,6,0.78,RU,1734273423
282,luena,-11.7833,19.9167,26.7,52,99,3.23,AO,1734273424
283,alotau,-10.3069,150.4462,24.69,93,100,1.34,PG,1734273425
284,ilomantsi,62.6716,30.9328,-11.56,79,2,3.25,FI,1734273427
285,itacoatiara,-3.1431,-58.4442,30.63,63,78,2.93,BR,1734273428
286,suances,43.4334,-4.0434,12.28,96,75,1.03,ES,1734273429
287,susuman,62.7833,148.1667,-23.65,98,100,1.07,RU,1734273430
288,morehead,37.2711,-87.1764,11.86,94,100,4.12,US,1734273272
289,media luna,20.1419,-77.435,26.75,74,10,7.95,CU,1734273432
290,tamanrasset,22.785,5.5228,25.95,6,0,3.6,DZ,1734273435
291,suva,-18.1416,178.4415,22.71,100,20,1.03,FJ,1734273436
292,turaif,31.6725,38.6637,11.14,20,0,0.0,SA,1734273437
293,dudinka,69.4058,86.1778,-7.07,87,100,9.3,RU,1734273438
294,mount isa,-20.7333,139.5,28.87,45,26,4.12,AU,1734273164
295,sarkand,45.41,79.9186,1.05,89,100,3.51,KZ,1734273440
296,sinop,41.7711,34.8709,2.41,72,100,5.62,TR,1734273442
297,port macquarie,-31.4333,152.9167,21.71,98,35,0.45,AU,1734273443
298,villa emilio carranza,19.9667,-96.6,24.35,77,1,1.84,MX,1734273444
299,port shepstone,-30.7414,30.455,26.73,76,96,8.43,ZA,1734273445
300,georgetown,5.4112,100.3354,27.97,79,20,1.54,MY,1734273398
301,puerto colombia,10.9878,-74.9547,28.05,66,0,2.57,CO,1734273447
302,al jawf,29.5,38.75,11.19,19,0,4.29,SA,1734273450
303,lazaro cardenas,17.9583,-102.2,27.05,76,99,0.29,MX,1734273451
304,port-gentil,-0.7193,8.7815,27.98,89,75,3.09,GA,1734273452
305,utrik,11.2278,169.8474,27.47,81,53,9.99,MH,1734273453
306,wanning,18.8003,110.3967,16.48,70,100,4.83,CN,1734273454
307,la gi,10.6667,107.7833,24.13,85,96,5.2,VN,1734273455
308,natal,-5.795,-35.2094,31.12,62,75,8.23,BR,1734273431
309,amahai,-3.3333,128.9167,26.17,86,100,3.05,ID,1734273458
310,owen sound,44.5672,-80.9435,-0.62,80,100,3.8,CA,1734273459
311,sant'antioco,39.0664,8.4522,13.02,64,90,11.81,IT,1734273460
312,mana,5.6592,-53.7767,28.68,71,100,4.79,GF,1734272901
313,camacupa,-12.0167,17.4833,24.98,63,80,0.69,AO,1734273462
314,plettenberg bay,-34.0527,23.3716,18.63,79,70,8.19,ZA,1734273464
315,quellon,-43.1167,-73.6167,15.43,68,66,5.73,CL,1734273465
316,las tablas,7.7667,-80.2833,27.32,99,1,6.41,PA,1734273466
317,bikenibeu village,1.3673,173.1241,28.25,72,100,6.75,KI,1734273467
318,pisco,-13.7,-76.2167,21.03,78,0,3.6,PE,1734273469
319,sao caetano de odivelas,-0.75,-48.02,31.27,58,100,4.6,BR,1734273470
320,iskateley,67.6803,53.1512,-16.26,97,100,3.56,RU,1734273472
321,sinjai,-5.1241,120.253,24.72,90,100,2.22,ID,1734273473
322,ta`u,-14.2336,-169.5144,26.69,77,20,2.21,AS,1734273474
323,gobabis,-22.45,18.9667,30.85,25,89,4.07,NA,1734273475
324,melekeok village,7.4957,134.6367,25.31,100,100,3.09,PW,1734273476
325,erenhot,43.6475,111.9767,-7.92,48,80,3.88,CN,1734273477
326,zouerate,22.7187,-12.4521,28.47,10,100,7.8,MR,1734273455
327,taulaga,-11.0553,-171.0883,27.88,78,24,7.24,AS,1734273480
328,allapalli,19.4167,80.0667,15.61,38,0,1.27,IN,1734273481
329,buka,40.8108,69.1986,-2.22,96,100,0.81,UZ,1734273482
330,vadso,70.0744,29.7487,-10.91,92,40,6.17,NO,1734273483
331,andergrove,-21.0833,149.1833,24.53,86,20,3.16,AU,1734273484
332,happy valley-goose bay,53.3168,-60.3315,-5.83,58,75,6.69,CA,1734273485
333,beau vallon,-20.4189,57.6953,27.13,74,40,3.09,MU,1734273486
334,lucrezia,43.7745,12.9402,7.98,87,8,1.62,IT,1734273488
