City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,sendhwa,21.6833,75.1,18.27,65,0,2.93,IN,1735511024
207,chachapoyas,-6.2317,-77.869,16.01,85,100,1.19,PE,1735511025
208,mahibadhoo,3.7833,72.9667,27.33,75,100,3.61,MV,1735511026
209,ube,33.9431,131.2511,5.99,75,100,1.54,JP,1735511029
210,mocimboa,-11.3167,40.35,25.29,91,100,3.28,MZ,1735511030
211,mengellang,7.6957,134.6305,28.15,78,100,7.14,PW,1735511031
212,konstantinovka,49.6167,127.9833,-28.57,100,76,0.39,RU,1735511032
213,codrington,-38.2667,141.9667,18.41,68,73,3.0,AU,1735511034
214,paita,-5.0892,-81.1144,21.54,81,60,6.12,PE,1735511035
215,hithadhoo,-0.6,73.0833,26.62,69,96,4.89,MV,1735511036
216,ancud,-41.8697,-73.8203,14.69,68,100,4.79,CL,1735511037
217,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,72,0,1.0,RU,1735510858
218,nguigmi,14.2495,13.1092,20.15,17,59,6.06,NE,1735511040
219,san antonio de pale,-1.4014,5.6325,26.81,79,96,1.87,GQ,1735511041
220,ngaoundere,7.3167,13.5833,19.74,26,51,1.96,CM,1735511044
221,hailar,49.2,119.7,-14.82,96,100,2.27,CN,1735510751
222,terre haute,39.4667,-87.4139,8.15,88,100,9.26,US,1735510983
223,kingston,17.997,-76.7936,26.53,83,75,5.14,JM,1735511047
224,mpika,-11.8343,31.4529,18.22,84,100,0.81,ZM,1735511048
225,mehar,27.1807,67.8229,13.85,20,8,2.57,PK,1735511050
226,kudahuvadhoo,2.6708,72.8944,27.03,71,76,1.68,MV,1735511051
227,rexburg,43.826,-111.7897,1.99,93,100,6.69,US,1735511052
228,lukuledi,-10.5667,38.8,23.26,91,89,2.61,TZ,1735511054
229,jiwani,25.05,61.7417,21.55,49,8,1.59,PK,1735511056
230,donaldsonville,30.101,-90.9929,21.08,64,0,1.54,US,1735511057
231,isafjordur,66.0755,-23.124,-7.95,79,90,4.7,IS,1735511059
232,gadzhiyevo,69.2551,33.3362,0.06,98,100,7.19,RU,1735511060
233,hoemul-li,41.4339,129.67,-5.17,58,4,2.03,KP,1735511061
234,college,64.8569,-147.8028,-29.95,76,0,0.0,US,1735511062
235,lebu,-37.6167,-73.65,15.95,76,78,5.86,CL,1735511064
236,amilly,47.9728,2.7719,2.81,92,4,1.87,FR,1735510799
237,bac lieu,9.285,105.7244,23.93,84,100,2.53,VN,1735511066
238,igarka,67.4667,86.5833,-14.16,95,100,4.26,RU,1735511053
239,kirakira,-10.4544,161.9205,25.18,93,100,2.05,SB,1735511068
240,canton,23.1167,113.25,14.61,37,0,2.05,CN,1735511070
241,cristuru secuiesc,46.2833,25.0333,0.55,87,69,0.09,RO,1735511039
242,illizi,26.4833,8.4667,12.56,29,28,6.58,DZ,1735511072
243,dili,-8.5586,125.5736,27.39,81,99,1.94,TL,1735511073
244,santana,-0.0583,-51.1817,25.1,100,75,2.57,BR,1735511075
245,beloyarskiy,63.7119,66.6722,-15.44,99,19,1.74,RU,1735511076
246,jaguaquara,-13.5306,-39.9708,23.04,72,89,3.73,BR,1735511077
247,dakhla,23.6848,-15.958,19.61,41,15,7.95,EH,1735511078
248,chibougamau,49.9168,-74.3659,0.79,100,100,2.06,CA,1735511080
249,ebon,4.582,168.6964,28.26,71,51,8.36,MH,1735511081
250,mumford,5.2618,-0.759,27.01,85,68,2.99,GH,1735511082
251,kyshtovka,56.555,76.6271,-13.77,97,89,3.66,RU,1735511083
252,labytnangi,66.6572,66.4183,-19.14,97,23,1.6,RU,1735511084
253,belel,7.05,14.4333,18.65,28,9,2.02,CM,1735511086
254,vila do maio,15.1333,-23.2167,24.05,84,4,5.77,CV,1735511087
255,ciudad bolivar,8.1222,-63.5497,32.35,35,26,2.56,VE,1735511088
256,chauk,20.8833,94.8167,19.61,70,0,1.74,MM,1735511089
257,amga,60.8953,131.9608,-49.91,100,67,0.29,RU,1735511090
258,kourou,5.1552,-52.6478,24.74,90,89,2.62,GF,1735511091
259,alekseyevka,50.6309,38.6903,-0.45,86,81,2.92,RU,1735511092
260,port saint john's,-31.6229,29.5448,23.22,92,28,2.18,ZA,1735511094
